sample_accession	axis	program_type	spatial_program	spot_spearman	n_spots
GSM6086617	F7	CORE	keratinocyte_stress_hypoxia	0.3861639435805522	459
GSM6086617	F7	CORE	fibroblast_matrix	0.0338359029438765	459
GSM6086617	F7	CORE	fibroblast_inflammatory	0.31317550378541037	459
GSM6086617	F7	CORE	endothelial_vascular	0.34216168921363943	459
GSM6086617	F7	CORE	myeloid_dendritic	0.5603667076322247	459
GSM6086617	F7	CORE	T_NK_cytotoxic	0.4687751694543473	459
GSM6086617	F7	CORE	B_plasma	0.08768280343404132	459
GSM6086617	F7	EXTENDED	keratinocyte_basal	0.44030437816906165	459
GSM6086617	F7	EXTENDED	keratinocyte_spinous_suprabasal	0.2318756844280596	459
GSM6086617	F7	EXTENDED	keratinocyte_inflammatory_T17	0.2779304501794104	459
GSM6086617	F7	EXTENDED	keratinocyte_stress_hypoxia	0.41547921296537726	459
GSM6086617	F7	EXTENDED	fibroblast_matrix	0.01950934886493043	459
GSM6086617	F7	EXTENDED	fibroblast_inflammatory	0.30073338231822455	459
GSM6086617	F7	EXTENDED	endothelial_vascular	0.3558912834265404	459
GSM6086617	F7	EXTENDED	myeloid_dendritic	0.5621932367146242	459
GSM6086617	F7	EXTENDED	T_NK_cytotoxic	0.47543606592512266	459
GSM6086617	F7	EXTENDED	B_plasma	0.08003622658206781	459
GSM6086618	F1	CORE	keratinocyte_basal	0.5581343555787658	1044
GSM6086618	F1	CORE	keratinocyte_spinous_suprabasal	0.28716158062777203	1044
GSM6086618	F1	CORE	keratinocyte_inflammatory_T17	0.447860378555895	1044
GSM6086618	F1	CORE	keratinocyte_stress_hypoxia	0.546463090203894	1044
GSM6086618	F1	CORE	fibroblast_matrix	-0.21852298510248136	1044
GSM6086618	F1	CORE	fibroblast_inflammatory	0.26858709377754264	1044
GSM6086618	F1	CORE	endothelial_vascular	0.4571705703353894	1044
GSM6086618	F1	CORE	myeloid_dendritic	0.5708724742016289	1044
GSM6086618	F1	CORE	T_NK_cytotoxic	0.5763327415373987	1044
GSM6086618	F1	CORE	B_plasma	0.22871021314280696	1044
GSM6086618	F1	EXTENDED	keratinocyte_basal	0.5650647080552378	1044
GSM6086618	F1	EXTENDED	keratinocyte_spinous_suprabasal	0.28279487064959574	1044
GSM6086618	F1	EXTENDED	keratinocyte_inflammatory_T17	0.4560525395138732	1044
GSM6086618	F1	EXTENDED	keratinocyte_stress_hypoxia	0.5575921482529685	1044
GSM6086618	F1	EXTENDED	fibroblast_matrix	-0.1503141567893096	1044
GSM6086618	F1	EXTENDED	fibroblast_inflammatory	0.3138906311758426	1044
GSM6086618	F1	EXTENDED	endothelial_vascular	0.46498187647840766	1044
