source_table	donor_id	gsm	timepoint	tissue_state	baseline_primary	cell_type	F1_CORE_mean	F1_CORE_count	F1_EXTENDED_mean	F1_EXTENDED_count	F2_CORE_mean	F2_CORE_count	F2_EXTENDED_mean	F2_EXTENDED_count	F6_CORE_mean	F6_CORE_count	F6_EXTENDED_mean	F6_EXTENDED_count	F7_CORE_mean	F7_CORE_count	F7_EXTENDED_mean	F7_EXTENDED_count	axis	program_type	n_donors	mean_LS_minus_NL	bootstrap_ci_low	bootstrap_ci_high	signflip_p	fdr_by_program_type	dominant_cell_type	dominant_mean_score	secondary_cell_type	secondary_mean_score	specificity_delta_vs_second	n_cell_types_observed	core_extended_pseudobulk_spearman	n_donor_celltype_units	contrast	mean_treatment_shift
GSE228421_donor_celltype_axis_scores.tsv	P2	GSM7120453	baseline	lesional	True	myeloid_monocyte	0.2271227188092262	1346.0	0.162491769514369	1346.0	0.1163789582448107	1346.0	0.1336911786802697	1346.0	0.28908455025219	1346.0	0.2639067895016705	1346.0	0.9791918940682548	1346.0	0.5781395444960912	1346.0																		
GSE228421_donor_celltype_axis_scores.tsv	P2	GSM7120453	baseline	lesional	True	pericyte_smooth_muscle	0.29016641943307	686.0	0.2089651956952138	686.0	0.1532195646328689	686.0	0.176339499739828	686.0	0.3219570087072673	686.0	0.3224631675497629	686.0	1.145950922477858	686.0	0.6497035021006617	686.0																		
GSE228421_donor_celltype_axis_scores.tsv	P2	GSM7120453	baseline	lesional	True	unassigned	0.0871562135641175	4.0	0.0543886884964668	4.0	0.039874719480424	4.0	0.0441060708097396	4.0	0.0898976509023796	4.0	0.1045929335651464	4.0	0.69681343551705	4.0	0.3464267128195321	4.0																		
GSE228421_donor_celltype_axis_scores.tsv	P2	GSM7120454	baseline	nonlesional	True	B_cell	0.266222106922784	589.0	0.1773688233209374	589.0	0.1160491640092732	589.0	0.141112183366158	589.0	0.2819693235057537	589.0	0.2787143262569779	589.0	1.0945166178811505	589.0	0.6166792232203826	589.0																		
GSE228421_donor_celltype_axis_scores.tsv	P2	GSM7120454	baseline	nonlesional	True	NK_cell	0.3344229175174111	1.0	0.1887213184400918	1.0	0.1074585043298058	1.0	0.1414989364937515	1.0	0.2319246549296651	1.0	0.2461243949368758	1.0	0.8438026301007276	1.0	0.5188962073897005	1.0																		
GSE228421_donor_celltype_axis_scores.tsv	P2	GSM7120454	baseline	nonlesional	True	T_cell	0.2687940413479389	24.0	0.1849882792825945	24.0	0.1332487041298401	24.0	0.1418338150882953	24.0	0.3176778066894661	24.0	0.31090997811839	24.0	1.2245742284610974	24.0	0.692338522270589	24.0																		
GSE228421_donor_celltype_axis_scores.tsv	P2	GSM7120454	baseline	nonlesional	True	dendritic	0.2888152482837291	158.0	0.2078772519528684	158.0	0.1479947210938005	158.0	0.1638106382842458	158.0	0.3700452784333757	158.0	0.3461862072910748	158.0	1.2192125555522688	158.0	0.7199219274571934	158.0																		
GSE228421_donor_celltype_axis_scores.tsv	P2	GSM7120454	baseline	nonlesional	True	endothelial	0.2825481967259933	818.0	0.1988556217569739	818.0	0.1404668421074203	818.0	0.1614948327844812	818.0	0.3037597447401644	818.0	0.3032561483284076	818.0	1.194680523488605	818.0	0.6694550631106526	818.0																		
GSE228421_donor_celltype_axis_scores.tsv	P2	GSM7120454	baseline	nonlesional	True	fibroblast	0.3050032829436649	2804.0	0.2340253798181758	2804.0	0.1631996080399722	2804.0	0.1949333834491684	2804.0	0.3268447989496196	2804.0	0.3359176978812361	2804.0	1.1905506599949862	2804.0	0.6847313864626658	2804.0																		
GSE228421_donor_celltype_axis_scores.tsv	P2	GSM7120454	baseline	nonlesional	True	keratinocyte	0.2908077631690872	6168.0	0.1901860229262306	6168.0	0.1063649888296957	6168.0	0.1288811541789923	6168.0	0.2817756653169768	6168.0	0.2639775758271744	6168.0	0.9877585604054502	6168.0	0.5558237268430132	6168.0																		
