donor_id	gsm	timepoint	tissue_state	baseline_primary	cell_type	refined_state	F1_CORE_mean	F1_CORE_count	F1_EXTENDED_mean	F1_EXTENDED_count	F2_CORE_mean	F2_CORE_count	F2_EXTENDED_mean	F2_EXTENDED_count	F6_CORE_mean	F6_CORE_count	F6_EXTENDED_mean	F6_EXTENDED_count	F7_CORE_mean	F7_CORE_count	F7_EXTENDED_mean	F7_EXTENDED_count
P1	GSM7120450	baseline	nonlesional	True	unassigned	unassigned_unresolved	0.1923099225823361	20	0.12482148307915816	20	0.0715290844998875	20	0.08970446786818677	20	0.1592637421544761	20	0.16498424358320035	20	0.6635053940892301	20	0.3706305912148221	20
P1	GSM7120451	day3	lesional	False	B_cell	B_cell_plasma	0.25508354236320424	67	0.1923813601026148	67	0.13737324142363494	67	0.14629288126646878	67	0.35803900633796854	67	0.34890533693313247	67	1.3734938785067288	67	0.7713476951068696	67
P1	GSM7120451	day3	lesional	False	B_cell	B_cell_unresolved	0.2441892115151913	202	0.18107046542685082	202	0.12908488970811138	202	0.13828541205626088	202	0.3276073399189257	202	0.3265595409743817	202	1.326675322788395	202	0.7404847876917852	202
P1	GSM7120451	day3	lesional	False	NK_cell	T_cell_TRM_T17_like	0.28286205533707615	1	0.17745583192031514	1	0.11170860517062485	1	0.13033826966785295	1	0.3219470514361219	1	0.3285590939099803	1	1.4051302375957848	1	0.7837877970741414	1
P1	GSM7120451	day3	lesional	False	NK_cell	cytotoxic_NK_T	0.21816036502351127	13	0.1636394727705689	13	0.12488966000433413	13	0.1277331944782876	13	0.3155561943189365	13	0.3036952720877324	13	1.199985943950099	13	0.6713948136269892	13
P1	GSM7120451	day3	lesional	False	T_cell	T_cell_TRM_T17_like	0.2460086783025388	123	0.18635842939896693	123	0.1443097229100742	123	0.14642559849780803	123	0.3404226811523335	123	0.3387371923351876	123	1.260844976084783	123	0.7121892124539192	123
P1	GSM7120451	day3	lesional	False	T_cell	T_cell_unresolved	0.15310941087976587	1	0.09129844068683526	1	0.053823139457716336	1	0.06768611263667629	1	0.09659969710389746	1	0.1499157998521073	1	0.7236162513394413	1	0.3782288394445297	1
P1	GSM7120451	day3	lesional	False	T_cell	cytotoxic_NK_T	0.2950299257603358	1	0.1964351785540879	1	0.14624508991440438	1	0.15409544536018915	1	0.35734080002577495	1	0.35643491922378323	1	0.753577721461026	1	0.4746766869994728	1
P1	GSM7120451	day3	lesional	False	dendritic	dendritic_LAMP3_CCR7	0.26345695147504633	83	0.21143326723649072	83	0.1651928992121652	83	0.16950775642340649	83	0.39107402761495186	83	0.3781508149269256	83	1.3562155156893372	83	0.7988372853122004	83
P1	GSM7120451	day3	lesional	False	dendritic	myeloid_monocyte_macrophage	0.2574929760550394	32	0.20446662495696444	32	0.15485213639726106	32	0.16106118463338373	32	0.3582171714258894	32	0.35849498507038813	32	1.3172533058017009	32	0.777875811271348	32
P1	GSM7120451	day3	lesional	False	endothelial	endothelial_activated	0.30628218463762247	315	0.2275811094786917	315	0.17330089548134137	315	0.18994239227030701	315	0.36314759345536424	315	0.35469530225352	315	1.3195890720283665	315	0.7482905479198244	315
P1	GSM7120451	day3	lesional	False	endothelial	endothelial_vascular	0.3172326819103247	504	0.23296436521939268	504	0.1790832608989135	504	0.19449016966373212	504	0.36710334793295973	504	0.348295269532163	504	1.2564013907035105	504	0.7174595448453667	504
P1	GSM7120451	day3	lesional	False	fibroblast	fibroblast_homeostatic_matrix	0.3090380490905655	2424	0.23719523161057796	2424	0.16838823726135427	2424	0.1972271951736237	2424	0.3343981681177454	2424	0.32874123096698854	2424	1.2063141667545108	2424	0.6916600822965414	2424
P1	GSM7120451	day3	lesional	False	fibroblast	fibroblast_inflammatory	0.30610639455915145	70	0.22725038003364284	70	0.15221202194060288	70	0.18030239283012042	70	0.33208364550797187	70	0.32987479296016786	70	1.2203373219148448	70	0.6972260992423082	70
P1	GSM7120451	day3	lesional	False	keratinocyte	keratinocyte_IFN_response	0.26865064321424803	9	0.1898643371272395	9	0.14430295586237915	9	0.15819863365617365	9	0.3066811175993809	9	0.3024991038616409	9	1.1824361980275726	9	0.6643518829817014	9
P1	GSM7120451	day3	lesional	False	keratinocyte	keratinocyte_basal	0.38828906252517065	3201	0.2674192671542966	3201	0.15579169805979895	3201	0.17938778181571732	3201	0.406050517472381	3201	0.38754414047389313	3201	1.3038971720351769	3201	0.7444543727812571	3201
