donor_id	gsm	timepoint	tissue_state	baseline_primary	cell_type	F1_CORE_mean	F1_CORE_count	F1_EXTENDED_mean	F1_EXTENDED_count	F2_CORE_mean	F2_CORE_count	F2_EXTENDED_mean	F2_EXTENDED_count	F6_CORE_mean	F6_CORE_count	F6_EXTENDED_mean	F6_EXTENDED_count	F7_CORE_mean	F7_CORE_count	F7_EXTENDED_mean	F7_EXTENDED_count
P2	GSM7120456	day14	lesional	False	endothelial	0.3176886662667055	738	0.21892860443516407	738	0.1557122516237137	738	0.17899728685745775	738	0.3315574595665409	738	0.32553051696076113	738	1.1695981722708926	738	0.6644391284231949	738
P2	GSM7120456	day14	lesional	False	fibroblast	0.31877115604735246	2294	0.2393163690894251	2294	0.16388865445130452	2294	0.19601815179114296	2294	0.3365844044199595	2294	0.3362022188568071	2294	1.1839239083901212	2294	0.6814700429200853	2294
P2	GSM7120456	day14	lesional	False	keratinocyte	0.37048576606222994	8779	0.2479396146231221	8779	0.1394323894683222	8779	0.1639666956726396	8779	0.37447103110701535	8779	0.35642597004795323	8779	1.170256564086825	8779	0.6696342876540032	8779
P2	GSM7120456	day14	lesional	False	mast_cell	0.20457850447803083	302	0.11302374801919177	302	0.056437938641494864	302	0.08288132232074295	302	0.1616084155665051	302	0.15903494323621697	302	0.7770251015444584	302	0.4163236621654814	302
P2	GSM7120456	day14	lesional	False	melanocyte	0.4115518449465024	228	0.29172721213683755	228	0.1759250235633461	228	0.19432111503142357	228	0.4273254515344083	228	0.37575254971723654	228	1.0735524716602522	228	0.645614419006278	228
P2	GSM7120456	day14	lesional	False	myeloid_monocyte	0.2812772036247541	1225	0.20636357799324603	1225	0.15008550121024825	1225	0.16814973745971215	1225	0.35615588355140293	1225	0.33171900551957884	1225	1.1265220838736345	1225	0.671782500917799	1225
P2	GSM7120456	day14	lesional	False	pericyte_smooth_muscle	0.32407457811759993	795	0.22627361765257814	795	0.15867257957231126	795	0.18612193822463818	795	0.33738040760842813	795	0.3464095251782866	795	1.2560573662721655	795	0.7047508182507204	795
P2	GSM7120456	day14	lesional	False	unassigned	0.12330853811213142	3	0.07306692867203839	3	0.030362740911376807	3	0.0506944154873617	3	0.07658146562857711	3	0.11019087269355725	3	0.7606445511424035	3	0.3878268634257392	3
P3	GSM7120457	baseline	lesional	True	B_cell	0.20001691346591807	980	0.13094972977735692	980	0.08681213547947353	980	0.10325814151048429	980	0.22516867247363093	980	0.22686330897646573	980	0.9634567640182097	980	0.5339448154804818	980
P3	GSM7120457	baseline	lesional	True	NK_cell	0.2043424612533559	41	0.1312122911956284	41	0.08941085723596456	41	0.10149354650794219	41	0.22621770892829224	41	0.24100368719649154	41	1.051652054446117	41	0.5837198967288605	41
