axis	null_set_id	target_genes	sampled_genes	fallback_draws
F1	F1_NULL_0675	252	252	1
F1	F1_NULL_0676	252	252	1
F1	F1_NULL_0677	252	252	1
F1	F1_NULL_0678	252	252	1
F1	F1_NULL_0679	252	252	1
F1	F1_NULL_0680	252	252	1
F1	F1_NULL_0681	252	252	1
F1	F1_NULL_0682	252	252	1
F1	F1_NULL_0683	252	252	1
F1	F1_NULL_0684	252	252	1
F1	F1_NULL_0685	252	252	1
F1	F1_NULL_0686	252	252	1
F1	F1_NULL_0687	252	252	1
F1	F1_NULL_0688	252	252	1
F1	F1_NULL_0689	252	252	1
F1	F1_NULL_0690	252	252	1
F1	F1_NULL_0691	252	252	1
F1	F1_NULL_0692	252	252	1
F1	F1_NULL_0693	252	252	1
F1	F1_NULL_0694	252	252	1
F1	F1_NULL_0695	252	252	1
F1	F1_NULL_0696	252	252	1
F1	F1_NULL_0697	252	252	1
F1	F1_NULL_0698	252	252	1
F1	F1_NULL_0699	252	252	1
F1	F1_NULL_0700	252	252	1
F1	F1_NULL_0701	252	252	1
F1	F1_NULL_0702	252	252	1
F1	F1_NULL_0703	252	252	1
F1	F1_NULL_0704	252	252	1
F1	F1_NULL_0705	252	252	1
F1	F1_NULL_0706	252	252	1
F1	F1_NULL_0707	252	252	1
F1	F1_NULL_0708	252	252	1
F1	F1_NULL_0709	252	252	1
F1	F1_NULL_0710	252	252	1
F1	F1_NULL_0711	252	252	1
F1	F1_NULL_0712	252	252	1
F1	F1_NULL_0713	252	252	1
F1	F1_NULL_0714	252	252	1
F1	F1_NULL_0715	252	252	1
F1	F1_NULL_0716	252	252	1
F1	F1_NULL_0717	252	252	1
F1	F1_NULL_0718	252	252	1
F1	F1_NULL_0719	252	252	1
F1	F1_NULL_0720	252	252	1
F1	F1_NULL_0721	252	252	1
F1	F1_NULL_0722	252	252	1
F1	F1_NULL_0723	252	252	1
F1	F1_NULL_0724	252	252	1
F1	F1_NULL_0725	252	252	1
F1	F1_NULL_0726	252	252	1
F1	F1_NULL_0727	252	252	1
F1	F1_NULL_0728	252	252	1
