factor	view	feature	feature_family	feature_name	loading	abs_loading_rank_within_factor_view
F6	BLD	regulon_DoRothEA::AHR	regulon_DoRothEA	AHR	4.164861093158834e-05	336.0
F7	BLD	regulon_DoRothEA::AHR	regulon_DoRothEA	AHR	-0.22522588074207306	231.0
F8	BLD	regulon_DoRothEA::AHR	regulon_DoRothEA	AHR	-5.3773244871990755e-05	300.0
F1	BLD	signaling_PROGENy::Hypoxia	signaling_PROGENy	Hypoxia	-0.011074000038206577	272.0
F2	BLD	signaling_PROGENy::Hypoxia	signaling_PROGENy	Hypoxia	1.1522340173542034e-05	416.0
F3	BLD	signaling_PROGENy::Hypoxia	signaling_PROGENy	Hypoxia	-0.4235806465148926	94.0
F4	BLD	signaling_PROGENy::Hypoxia	signaling_PROGENy	Hypoxia	-0.02335340343415737	427.0
F5	BLD	signaling_PROGENy::Hypoxia	signaling_PROGENy	Hypoxia	0.0005933702923357487	122.0
F6	BLD	signaling_PROGENy::Hypoxia	signaling_PROGENy	Hypoxia	3.4334632800891995e-05	353.0
F7	BLD	signaling_PROGENy::Hypoxia	signaling_PROGENy	Hypoxia	0.09705443680286407	344.0
F8	BLD	signaling_PROGENy::Hypoxia	signaling_PROGENy	Hypoxia	-1.1006573913618922e-05	415.0
F1	BLD	signaling_PROGENy::PI3K	signaling_PROGENy	PI3K	0.032226305454969406	111.0
F2	BLD	signaling_PROGENy::PI3K	signaling_PROGENy	PI3K	-4.157351213507354e-05	294.0
F3	BLD	signaling_PROGENy::PI3K	signaling_PROGENy	PI3K	-0.0912955179810524	381.0
F4	BLD	signaling_PROGENy::PI3K	signaling_PROGENy	PI3K	-0.3180261254310608	148.0
F5	BLD	signaling_PROGENy::PI3K	signaling_PROGENy	PI3K	0.0013284749584272504	40.0
F6	BLD	signaling_PROGENy::PI3K	signaling_PROGENy	PI3K	-0.00038196821697056293	21.0
F7	BLD	signaling_PROGENy::PI3K	signaling_PROGENy	PI3K	-0.5087181925773621	70.0
F8	BLD	signaling_PROGENy::PI3K	signaling_PROGENy	PI3K	5.666886499966495e-05	295.0
F1	BLD	signaling_PROGENy::Trail	signaling_PROGENy	Trail	0.006737116724252701	331.0
F2	BLD	signaling_PROGENy::Trail	signaling_PROGENy	Trail	-5.2656003390438855e-05	254.0
F3	BLD	signaling_PROGENy::Trail	signaling_PROGENy	Trail	-0.11025931686162949	368.0
F4	BLD	signaling_PROGENy::Trail	signaling_PROGENy	Trail	0.28482580184936523	176.0
F5	BLD	signaling_PROGENy::Trail	signaling_PROGENy	Trail	2.3302411136683077e-05	415.0
F6	BLD	signaling_PROGENy::Trail	signaling_PROGENy	Trail	9.94526271824725e-05	219.0
F7	BLD	signaling_PROGENy::Trail	signaling_PROGENy	Trail	0.14370936155319214	305.0
F8	BLD	signaling_PROGENy::Trail	signaling_PROGENy	Trail	0.00032720196759328246	41.0
F1	BLD	signaling_PROGENy::VEGF	signaling_PROGENy	VEGF	0.03330965340137482	106.0
F2	BLD	signaling_PROGENy::VEGF	signaling_PROGENy	VEGF	0.00014565901074092835	91.0
F3	BLD	signaling_PROGENy::VEGF	signaling_PROGENy	VEGF	-0.14089491963386536	333.0
F4	BLD	signaling_PROGENy::VEGF	signaling_PROGENy	VEGF	0.08094330132007599	360.0
F5	BLD	signaling_PROGENy::VEGF	signaling_PROGENy	VEGF	8.060935215326026e-05	354.0
F6	BLD	signaling_PROGENy::VEGF	signaling_PROGENy	VEGF	0.0003032900276593864	38.0
F7	BLD	signaling_PROGENy::VEGF	signaling_PROGENy	VEGF	-0.011256183497607708	437.0
F8	BLD	signaling_PROGENy::VEGF	signaling_PROGENy	VEGF	5.1265753427287564e-05	314.0
F1	BLD	signaling_PROGENy::MAPK	signaling_PROGENy	MAPK	-0.013706283643841743	244.0
F2	BLD	signaling_PROGENy::MAPK	signaling_PROGENy	MAPK	-0.00022161510423757136	38.0
F3	BLD	signaling_PROGENy::MAPK	signaling_PROGENy	MAPK	0.08302244544029236	391.0
F4	BLD	signaling_PROGENy::MAPK	signaling_PROGENy	MAPK	-0.4227966070175171	86.0
F5	BLD	signaling_PROGENy::MAPK	signaling_PROGENy	MAPK	2.5483986973995343e-05	414.0
F6	BLD	signaling_PROGENy::MAPK	signaling_PROGENy	MAPK	-0.00012241161311976612	193.0
F7	BLD	signaling_PROGENy::MAPK	signaling_PROGENy	MAPK	-0.1899271160364151	257.0
F8	BLD	signaling_PROGENy::MAPK	signaling_PROGENy	MAPK	0.00011123803415102884	206.0
F1	BLD	signaling_PROGENy::TGFb	signaling_PROGENy	TGFb	0.006666517350822687	333.0
F2	BLD	signaling_PROGENy::TGFb	signaling_PROGENy	TGFb	-4.681827249441994e-06	439.0
F3	BLD	signaling_PROGENy::TGFb	signaling_PROGENy	TGFb	-0.35615870356559753	140.0
F4	BLD	signaling_PROGENy::TGFb	signaling_PROGENy	TGFb	-0.0389840230345726	408.0
F5	BLD	signaling_PROGENy::TGFb	signaling_PROGENy	TGFb	9.403180592926219e-05	345.0
F6	BLD	signaling_PROGENy::TGFb	signaling_PROGENy	TGFb	-0.00010529396240599453	208.0
F7	BLD	signaling_PROGENy::TGFb	signaling_PROGENy	TGFb	0.11123611032962799	333.0
F8	BLD	signaling_PROGENy::TGFb	signaling_PROGENy	TGFb	0.00022003689082339406	91.0
F1	BLD	signaling_PROGENy::Androgen	signaling_PROGENy	Androgen	0.03882009536027908	91.0
F2	BLD	signaling_PROGENy::Androgen	signaling_PROGENy	Androgen	-5.4476251534651965e-05	250.0
F3	BLD	signaling_PROGENy::Androgen	signaling_PROGENy	Androgen	-0.1755218356847763	315.0
F4	BLD	signaling_PROGENy::Androgen	signaling_PROGENy	Androgen	-0.07114767283201218	373.0
F5	BLD	signaling_PROGENy::Androgen	signaling_PROGENy	Androgen	-8.509342296747491e-05	351.0
F6	BLD	signaling_PROGENy::Androgen	signaling_PROGENy	Androgen	3.689357981784269e-05	348.0
F7	BLD	signaling_PROGENy::Androgen	signaling_PROGENy	Androgen	-0.23557819426059723	227.0
F8	BLD	signaling_PROGENy::Androgen	signaling_PROGENy	Androgen	-4.4059914216632023e-05	335.0
F1	BLD	Reactome::Enterobacterial factors antagonize host defense	Reactome	Enterobacterial factors antagonize host defense	-0.01439692173153162	241.0
F2	BLD	Reactome::Enterobacterial factors antagonize host defense	Reactome	Enterobacterial factors antagonize host defense	6.7276605477673e-06	432.0
F3	BLD	Reactome::Enterobacterial factors antagonize host defense	Reactome	Enterobacterial factors antagonize host defense	-0.1178901419043541	357.0
F4	BLD	Reactome::Enterobacterial factors antagonize host defense	Reactome	Enterobacterial factors antagonize host defense	0.19460472464561462	240.0
F5	BLD	Reactome::Enterobacterial factors antagonize host defense	Reactome	Enterobacterial factors antagonize host defense	-0.0007020880002528429	98.0
F6	BLD	Reactome::Enterobacterial factors antagonize host defense	Reactome	Enterobacterial factors antagonize host defense	-9.427704935660586e-05	226.0
F7	BLD	Reactome::Enterobacterial factors antagonize host defense	Reactome	Enterobacterial factors antagonize host defense	-0.520630955696106	59.0
F8	BLD	Reactome::Enterobacterial factors antagonize host defense	Reactome	Enterobacterial factors antagonize host defense	-6.922705506440252e-05	276.0
F1	BLD	Reactome::RHO GTPases Activate NADPH Oxidases	Reactome	RHO GTPases Activate NADPH Oxidases	0.034964822232723236	99.0
F2	BLD	Reactome::RHO GTPases Activate NADPH Oxidases	Reactome	RHO GTPases Activate NADPH Oxidases	0.00022098931367509067	39.0
F3	BLD	Reactome::RHO GTPases Activate NADPH Oxidases	Reactome	RHO GTPases Activate NADPH Oxidases	-0.15992799401283264	325.0
F4	BLD	Reactome::RHO GTPases Activate NADPH Oxidases	Reactome	RHO GTPases Activate NADPH Oxidases	0.2703614830970764	186.0
F5	BLD	Reactome::RHO GTPases Activate NADPH Oxidases	Reactome	RHO GTPases Activate NADPH Oxidases	7.485872629331425e-05	360.0
F6	BLD	Reactome::RHO GTPases Activate NADPH Oxidases	Reactome	RHO GTPases Activate NADPH Oxidases	-1.3832551303494256e-05	405.0
F7	BLD	Reactome::RHO GTPases Activate NADPH Oxidases	Reactome	RHO GTPases Activate NADPH Oxidases	0.0959397703409195	345.0
F8	BLD	Reactome::RHO GTPases Activate NADPH Oxidases	Reactome	RHO GTPases Activate NADPH Oxidases	0.00018720772641245276	120.0
F1	BLD	Reactome::Meiotic synapsis	Reactome	Meiotic synapsis	0.07988054305315018	23.0
F2	BLD	Reactome::Meiotic synapsis	Reactome	Meiotic synapsis	-4.9385660531697795e-05	265.0
F3	BLD	Reactome::Meiotic synapsis	Reactome	Meiotic synapsis	-0.5231224298477173	53.0
F4	BLD	Reactome::Meiotic synapsis	Reactome	Meiotic synapsis	0.47317007184028625	70.0
F5	BLD	Reactome::Meiotic synapsis	Reactome	Meiotic synapsis	0.000820708170067519	77.0
F6	BLD	Reactome::Meiotic synapsis	Reactome	Meiotic synapsis	0.0001889738196041435	98.0
F7	BLD	Reactome::Meiotic synapsis	Reactome	Meiotic synapsis	0.06757752597332001	371.0
F8	BLD	Reactome::Meiotic synapsis	Reactome	Meiotic synapsis	-7.119315705494955e-05	272.0
F1	BLD	Reactome::PIWI-interacting RNA (piRNA) biogenesis	Reactome	PIWI-interacting RNA (piRNA) biogenesis	-0.017107710242271423	214.0
F2	BLD	Reactome::PIWI-interacting RNA (piRNA) biogenesis	Reactome	PIWI-interacting RNA (piRNA) biogenesis	6.085817949497141e-05	239.0
F3	BLD	Reactome::PIWI-interacting RNA (piRNA) biogenesis	Reactome	PIWI-interacting RNA (piRNA) biogenesis	0.3001408278942108	199.0
F4	BLD	Reactome::PIWI-interacting RNA (piRNA) biogenesis	Reactome	PIWI-interacting RNA (piRNA) biogenesis	0.0019076254684478045	448.0
F5	BLD	Reactome::PIWI-interacting RNA (piRNA) biogenesis	Reactome	PIWI-interacting RNA (piRNA) biogenesis	0.0001333022810285911	316.0
F6	BLD	Reactome::PIWI-interacting RNA (piRNA) biogenesis	Reactome	PIWI-interacting RNA (piRNA) biogenesis	-0.00021242241200525314	71.0
F7	BLD	Reactome::PIWI-interacting RNA (piRNA) biogenesis	Reactome	PIWI-interacting RNA (piRNA) biogenesis	-0.05864730104804039	380.0
F8	BLD	Reactome::PIWI-interacting RNA (piRNA) biogenesis	Reactome	PIWI-interacting RNA (piRNA) biogenesis	7.783870387356728e-05	262.0
F1	BLD	Reactome::SARS-CoV-2 modulates autophagy	Reactome	SARS-CoV-2 modulates autophagy	-0.0022782564628869295	401.0
F2	BLD	Reactome::SARS-CoV-2 modulates autophagy	Reactome	SARS-CoV-2 modulates autophagy	4.561442619888112e-05	283.0
